name,category
Unknown,Unknown
,Unknown
Silk,Textile
Ivory,Organic
Porcelain,Ceramic
Oil,Painting Material
Ink,Painting Material
Silver,Metal
Paper,Paper/Canvas
Wood,Wood
Watercolor,Painting Material
Gouache,Painting Material
Cotton,Textile
Glass,Glass
Limestone,Jade/Stone
Bronze,Metal
Earthenware,Ceramic
Stone,Jade/Stone
Crystal,Jade/Stone
Jade,Jade/Stone
Copper,Metal
Stoneware,Ceramic
Marble,Jade/Stone
Nephrite,Jade/Stone
Bone,Organic
Iron,Metal
Brass,Metal
Gold,Metal
Linen,Textile
Pastel,Painting Material
Jadeite,Jade/Stone
Terracotta,Ceramic
Ceramic,Ceramic
Albumen,Photographic
Acrylic,Painting Material
Cardboard,Paper/Canvas
Shell,Organic
Chromogenic,Photographic
Clay,Ceramic
Granite,Jade/Stone
Tempera,Painting Material
Wool,Textile
Textile,Textile
Bamboo,Wood
Canvas,Paper/Canvas
